date;cmpgn;kw;kw status;impressions;clicks;cost;conversions;all_conversions;search_impression_share;search_rank_lost_impression_share;top_impression_percentage;absolute_top_impression_percentage;total_conversion_value;all_conversion_value
2021-01-19;Non Branded HubSpot;network marketing pro;enabled;24;1;2,39;1;1;0,1;0,9;0,77;0,27;0;0
2021-01-19;Non Branded HubSpot;marketing concepts;enabled;57;2;4,17;1;1;0,1;0,9;0,64;0,16;0;0
2021-01-19;Non Branded Funnel;marketing consultant;enabled;8;0;0;0;0;0,36;0,64;0,13;0;0;0
2021-01-19;Non Branded Funnel;internet marketing jobs;enabled;11;0;0;0;0;0,1;0,9;0,38;0,13;0;0
2021-01-19;Non Branded Funnel;marketing budget;enabled;8;0;0;0;0;0,14;0,86;0,2;0,2;0;0
2021-01-19;Non Branded HubSpot;small business marketing;enabled;2;0;0;0;0;0,1;0,9;0;0;0;0
2021-01-19;Non Branded Funnel;what is inbound marketing;enabled;1;0;0;0;0;0;0;0;0;0;0
2021-01-19;Non Branded Funnel;marketing intermediaries;enabled;3;0;0;0;0;0;0;0;0;0;0
2021-01-19;Non Branded Funnel;content marketing agency;enabled;5;0;0;0;0;0,1;0,9;0;0;0;0
2021-01-19;Non Branded Funnel;global marketing strategy;enabled;3;0;0;0;0;0;0;0;0;0;0
2021-01-20;Non Branded HubSpot;marketing mix;enabled;42;4;3,07;0;0;0,1;0,9;0,64;0,21;0;0
2021-01-20;Non Branded HubSpot;principles of marketing;enabled;12;0;0;0;0;0,1;0,9;0,92;0,42;0;0
2021-01-20;Non Branded Funnel;principles of marketing;enabled;17;1;1,17;0;0;0,57;0,43;0,53;0;0;0
2021-01-20;Non Branded Funnel;principles of marketing;enabled;48;1;2,15;0;0;0,36;0,64;0,74;0,33;0;0
2021-01-20;Non Branded HubSpot;#NAME?;enabled;12;0;0;0;0;0,1;0,9;0,82;0,36;0;0
2021-01-20;Non Branded Funnel;channel marketing;enabled;11;0;0;0;0;0,1;0,9;0,36;0,09;0;0
2021-01-20;Branded;integrated marketing communications;paused;79;4;5,61;0;0;0,1;0,77;0,87;0,37;0;0
2021-01-20;Non Branded Funnel;pay per click marketing;enabled;79;1;1,41;0;0;0,1;0,9;0,58;0,13;0;0
